,RVS Name:,New or Used:,Dealer location,Stock number,Length in feet:,Sleep places,Slide Outs:,Milage,Sale Price
0,2022 ENTEGRA COACH ASPIRE 44Z,Used,"Las Vegas, NV",Stock # 2206976,0 ft 0 i,-,4,"2,229","$439,995"
1,2023 FOREST RIVER BERKSHIRE XLT 45A,New,"New River, AZ",Stock # 2165285,44 ft 11 i,9,4,(N/A),"$421,999"
2,2018 ENTEGRA COACH CORNERSTONE 45Y,Used,"Camping World of Marion -Marion, NC",Stock # 2183286,44 ft 11 i,6,4,"19,000","$389,779"
3,2017 ENTEGRA COACH CORNERSTONE 45W,Used,"Bartow, FL",Stock # 2109447,44 ft 11 i,6,4,"38,679","$384,999"
4,2022 FOREST RIVER BERKSHIRE XL 40E,New,"McGeorge RV - A Camping World Company -Ashland, VA",Stock # 2156563,41 ft 0 i,9,3,(N/A),"$384,995"
5,2022 FOREST RIVER BERKSHIRE 40F,New,"McGeorge RV - A Camping World Company -Ashland, VA",Stock # 2156562,40 ft 10 i,9,3,(N/A),"$354,995"
6,2018 TIFFIN ALLEGRO BUS 40SP,Used,"Mesa, AZ",Stock # 2101801A,40 ft 11 i,3,4,"33,094","$349,999"
7,2023 THOR ARIA 3901,New,"Greenwood, IN",Stock # 2104672,39 ft 11 i,7,3,(N/A),"$349,999"
8,2023 THOR ARIA 3901,New,"Greenwood, IN",Stock # 2104673,39 ft 11 i,7,3,(N/A),"$349,999"
9,2019 ENTEGRA COACH ASPIRE 44R,Used,"Cheyenne, WY",Stock # 1168CWY,44 ft 11 i,6,4,-,"$339,995"
10,2022 FOREST RIVER BERKSHIRE XL 40C,New,"New River, AZ",Stock # 2160356,41 ft 0 i,9,1,(N/A),"$342,999"
11,2022 THOR VENETIAN L40,Used,"Woodstock, GA",Stock # 2194276,41 ft 0 i,5,3,"6,900","$299,995"
12,2023 THOR ARIA 4000,New,"Greenwood, IN",Stock # 2104675,41 ft 1 i,15,3,(N/A),"$335,999"
13,2015 NEWMAR ESSEX 4501,Used,"New River, AZ",Stock # 2160463,44 ft 11 i,-,4,"41,010","$319,999"
14,2020 WINNEBAGO HORIZON 42Q,Used,"Monticello, MN",Stock # 2209569,43 ft 3 i,4,3,"7,310","$319,999"
15,2022 ENTEGRA COACH ACCOLADE XL 37L,Used,"Hendersonville, NC",Stock # 2206799Z,40 ft 0 i,9,3,"7,733","$309,985"
16,2022 DYNAMAX DX3 37TS,New,"New River, AZ",Stock # 2167281,39 ft 2 i,7,2,(N/A),"$309,995"
17,2015 ITASCA ELLIPSE 42QD,Used,"RVs.com Showroom North Little Rock -Sherwood, AR",Stock # 2185090,42 ft 10 i,4,3,"17,976","$299,999"
18,2022 AIRSTREAM ATLAS MURPHY SUITE,New,"Oklahoma City, OK",Stock # 2208345,24 ft 9 i,1,1,(N/A),"$289,995"
19,2018 NEWMAR DUTCH STAR 4311,Used,"Uxbridge, MA",Stock # 2207409P,43 ft 9 i,10,3,"22,426","$289,999"
20,2021 DYNAMAX FORCE HD 37TS,Used,"Piqua, OH",Stock # 3000073P,39 ft 2 i,7,3,"13,278","$289,999"
21,2023 DYNAMAX ISATA 5 30FW4X4,New,"New River, AZ",Stock # 2167282,33 ft 3 i,7,2,(N/A),"$294,995"
22,2022 JAYCO SENECA 37K,Used,"Apollo, PA",Stock # 2205038,39 ft 4 i,5,2,"5,954","$284,999"
23,2020 THOR ARIA 4000,Used,"St George, UT",Stock # 2208672,40 ft 11 i,6,3,-,"$275,000"
24,2020 TIFFIN PHAETON 37BH,Used,"Mesa, AZ",Stock # 2149257,38 ft 2 i,3,3,"22,300","$274,999"
25,2023 THOR PALAZZO 37.6,New,"Greenwood, IN",Stock # 2147859,38 ft 11 i,7,3,(N/A),"$269,395"
26,2023 THOR INCEPTION 38BX,New,"Greenwood, IN",Stock # 2140944,39 ft 10 i,7,2,(N/A),"$260,495"
27,2022 THOR ARIA 3901,New,"Garner, NC",Stock # 2023366,0 ft 0 i,7,3,(N/A),"$259,999"
28,2021 THOR ARIA 3901,Used,"Mesa, AZ",Stock # 2208584C,39 ft 11 i,7,3,"6,770","$259,995"
29,2021 THOR ARIA 3901,Used,"Chelsea, MI",Stock # 2193327,39 ft 11 i,7,3,"8,028","$261,999"
30,2015 ITASCA ELLIPSE 42HD,Used,"Lake City, FL",Stock # 2171601,42 ft 10 i,4,4,"43,321","$249,995"
31,2022 THOR PALAZZO 37.4,New,"Greenwood, IN",Stock # 2074786,38 ft 11 i,7,3,(N/A),"$249,999"
32,2022 THOR PALAZZO 37.5,New,"Greenwood, IN",Stock # 2074788,38 ft 11 i,6,3,(N/A),"$249,999"
33,2023 THOR PALAZZO 33.5,New,"Garner, NC",Stock # 2141757,34 ft 11 i,7,2,(N/A),"$248,595"
34,2023 THOR PALAZZO 33.5,New,"Greenwood, IN",Stock # 2147857,34 ft 11 i,7,2,(N/A),"$248,595"
35,2023 JAYCO SENECA 37K,New,"McGeorge RV - A Camping World Company -Ashland, VA",Stock # 2161255,39 ft 4 i,6,2,(N/A),"$249,995"
36,2023 ENTEGRA COACH ACCOLADE 37L,New,"Colton, CA",Stock # 2195479,39 ft 4 i,9,3,(N/A),"$249,995"
37,2023 JAYCO SENECA 37M,New,"Menifee, CA",Stock # 2196701,39 ft 4 i,6,3,(N/A),"$249,995"
38,2023 JAYCO SENECA 37K,New,"Riverside, CA",Stock # 2196886,39 ft 4 i,6,2,(N/A),"$249,995"
39,2022 THOR OMNI XG32,Used,"Denton, TX",Stock # 2210270,33 ft 8 i,6,2,"9,649","$241,999"
40,2022 THOR OMNI RS36,Used,"Medford, OR",Stock # 2210583C,37 ft 9 i,7,1,-,"$242,000"
41,2022 JAYCO SENECA 37TS,Used,"Coburg, OR",Stock # 2195361P,39 ft 4 i,8,3,"5,081","$239,999"
42,2021 HOLIDAY RAMBLER NAUTICA 33TL,Used,"Las Vegas, NV",Stock # 2210833,0 ft 0 i,-,3,"3,687","$239,995"
43,2022 NEXUS RV GHOST 34DS,Used,"Bartow, FL",Stock # 2135692,33 ft 0 i,4,3,"4,497","$239,999"
44,2015 NEWMAR DUTCH STAR 4018,Used,"Huber Heights, OH",Stock # 2191540P,40 ft 0 i,-,3,"29,446","$238,999"
45,2019 NEWMAR NEW AIRE 3343,Used,"Hillsboro, OR",Stock # 2193814P,33 ft 0 i,4,3,"5,571","$234,999"
46,2019 RENEGADE RV VERONA 40VRB,Used,"Liberty Lake, WA",Stock # 2133089C,40 ft 2 i,2,2,-,"$232,999"
47,2022 THOR PALAZZO 37.4,Used,"Alvarado, TX",Stock # 2192780,38 ft 11 i,7,3,"7,866","$232,999"
48,2023 DYNAMAX ISATA 5 28SS4X4,New,"Greenwood, IN",Stock # 1916695,31 ft 2 i,5,1,(N/A),"$235,999"
49,2019 FLEETWOOD DISCOVERY 38K,Used,"Tulsa, OK",Stock # 2168738,38 ft 8 i,6,2,"11,337","$230,999"
50,2016 TIFFIN PHAETON 44OH,Used,"Mesa, AZ",Stock # 1000453P,45 ft 0 i,5,4,"36,532","$229,999"
51,2017 TIFFIN PHAETON 36GH,Used,"McGeorge RV - A Camping World Company -Ashland, VA",Stock # 2169845,38 ft 2 i,6,4,"44,455","$229,999"
52,2023 AIRSTREAM INTERSTATE 24GT,New,"Airstream of Virginia -Ashland, VA",Stock # 2169654,24 ft 6 i,1,-,(N/A),"$226,999"
53,2023 AIRSTREAM INTERSTATE 24GT,New,"Airstream of Virginia -Ashland, VA",Stock # 2135762,24 ft 6 i,1,-,(N/A),"$225,999"
54,2018 COACHMEN SPORTSCOACH 409BG,Used,"Apollo, PA",Stock # 2154711Z,41 ft 1 i,7,3,"9,067","$230,999"
55,2012 TIFFIN ALLEGRO BUS 43QGP,Used,"Newhall, CA",Stock # 2208817P,43 ft 6 i,6,4,"42,356","$225,995"
56,2023 THOR OMNI BT36,New,"Fresno, CA",Stock # 2014886,37 ft 9 i,5,2,(N/A),"$223,295"
57,2023 THOR MAGNITUDE BT36,New,"Pasco, WA",Stock # 2014913,37 ft 9 i,5,2,(N/A),"$223,295"
58,2023 THOR OMNI BT36,New,"RVs.com Showroom North Little Rock -Sherwood, AR",Stock # 2059790,37 ft 9 i,5,2,(N/A),"$223,295"
59,2023 THOR MAGNITUDE BT36,New,"Syracuse, NY",Stock # 2069813,37 ft 9 i,5,2,(N/A),"$223,295"
60,2023 THOR MAGNITUDE BT36,New,"Sioux Falls, SD",Stock # 2072399,37 ft 9 i,5,2,(N/A),"$223,295"
61,2023 THOR OMNI BT36,New,"Camping World of Oklahoma City East -Oklahoma City, OK",Stock # 2074910,37 ft 9 i,5,2,(N/A),"$223,295"
62,2023 THOR OMNI BT36,New,"Camping World of Buford -Buford, GA",Stock # 2099733,37 ft 9 i,5,2,(N/A),"$223,295"
63,2023 THOR OMNI BT36,New,"Katy, TX",Stock # 2103296,37 ft 9 i,5,2,(N/A),"$223,295"
64,2023 THOR OMNI BT36,New,"Uxbridge, MA",Stock # 2103846,37 ft 9 i,5,2,(N/A),"$223,295"
65,2023 THOR MAGNITUDE BT36,New,"Summerset, SD",Stock # 2105726,37 ft 9 i,5,2,(N/A),"$223,295"
66,2016 TIFFIN PHAETON 36GH,Used,"Dover, FL",Stock # 2171105,38 ft 2 i,4,4,"35,600","$222,999"
67,2022 AIRSTREAM INTERSTATE 24X,New,"Oklahoma City, OK",Stock # 2049175,24 ft 6 i,2,-,(N/A),"$221,999"
68,2022 THOR MAGNITUDE RS36,Used,"North Little Rock, AR",Stock # 2181933,37 ft 9 i,7,1,"10,252","$221,999"
69,2023 THOR MAGNITUDE RS36,New,"Idaho Falls, ID",Stock # 2012014,37 ft 9 i,7,1,(N/A),"$222,095"
70,2023 THOR MAGNITUDE RS36,New,"Pasco, WA",Stock # 2014914,37 ft 9 i,7,1,(N/A),"$222,095"
71,2023 THOR MAGNITUDE RS36,New,"North Little Rock, AR",Stock # 2020963,37 ft 9 i,7,1,(N/A),"$222,095"
72,2023 THOR MAGNITUDE RS36,New,"Longmont, CO",Stock # 2034023,37 ft 9 i,7,1,(N/A),"$222,594"
73,2023 THOR OMNI RS36,New,"Fresno, CA",Stock # 2059287,37 ft 9 i,7,1,(N/A),"$222,095"
74,2023 THOR OMNI RS36,New,"Camping World of Buford -Buford, GA",Stock # 2099736,37 ft 9 i,9,1,(N/A),"$222,095"
75,2023 THOR OMNI RS36,New,"Uxbridge, MA",Stock # 2103847,37 ft 9 i,7,1,(N/A),"$222,095"
76,2022 THOR MAGNITUDE SV34,Used,"Oklahoma City, OK",Stock # 2209288,35 ft 6 i,7,1,"3,132","$219,999"
77,2018 THOR ARIA 3401,Used,"Las Vegas, NV",Stock # 2205223,34 ft 8 i,6,3,"12,565","$219,995"
78,2022 THOR OMNI RB34,Used,"Woodstock, GA",Stock # 2191085,35 ft 9 i,8,1,-,"$216,999"
79,2023 THOR OMNI SV34,New,"Wood Village, OR",Stock # 2027543  VIN:OMTSV340004727,35 ft 9 i,6,1,(N/A),"$216,895"
80,2023 THOR OMNI SV34,New,"Wood Village, OR",Stock # 2027544  VIN:OMTSV340004750,35 ft 9 i,6,1,(N/A),"$216,895"
81,2023 THOR MAGNITUDE SV34,New,"Grain Valley, MO",Stock # 2040552,35 ft 9 i,8,1,(N/A),"$216,895"
82,2023 THOR OMNI SV34,New,"Camping World of Oklahoma City East -Oklahoma City, OK",Stock # 2047745,35 ft 9 i,6,1,(N/A),"$216,895"
83,2023 THOR MAGNITUDE SV34,New,"Idaho Falls, ID",Stock # 2058295,35 ft 9 i,8,1,(N/A),"$216,895"
84,2023 THOR MAGNITUDE SV34,New,"Summerset, SD",Stock # 2058297,35 ft 9 i,8,1,(N/A),"$216,895"
85,2023 THOR OMNI SV34,New,"Fresno, CA",Stock # 2087589,35 ft 9 i,6,1,(N/A),"$216,895"
86,2023 THOR MAGNITUDE SV34,New,"Camping World of Reno -Reno, NV",Stock # 2088883,35 ft 9 i,8,1,(N/A),"$216,895"
87,2023 THOR MAGNITUDE SV34,New,"Meridian, ID",Stock # 2101803,35 ft 9 i,8,1,(N/A),"$216,895"
88,2023 THOR OMNI SV34,New,"Uxbridge, MA",Stock # 2103848,35 ft 9 i,6,1,(N/A),"$216,895"
89,2023 THOR OMNI SV34,New,"West Boylston, MA",Stock # 2103856,35 ft 9 i,9,1,(N/A),"$216,895"
90,2023 THOR OMNI SV34,New,"Piqua, OH",Stock # 2104723,35 ft 9 i,6,1,(N/A),"$216,895"
91,2023 THOR OMNI SV34,New,"Akron, OH",Stock # 2104763,35 ft 9 i,6,1,(N/A),"$216,895"
92,2023 THOR OMNI SV34,New,"Akron, OH",Stock # 2104764,35 ft 9 i,6,1,(N/A),"$216,895"
93,2023 THOR OMNI SV34,New,"Akron, OH",Stock # 2104765,35 ft 9 i,6,1,(N/A),"$216,895"
94,2023 THOR OMNI SV34,New,"Akron, OH",Stock # 2104766,35 ft 9 i,6,1,(N/A),"$216,895"
95,2015 TIFFIN PHAETON 36GH,Used,"Idaho Falls, ID",Stock # 2179012Z,36 ft 0 i,5,4,-,"$215,999"
96,2021 THOR OMNI XG32,Used,"Summerfield, FL",Stock # 2196126,33 ft 6 i,6,2,"11,844","$215,999"
97,2022 THOR OMNI SV34,Used,"Roseville, CA",Stock # 2177037P,35 ft 9 i,7,1,"6,147","$213,999"
98,2023 THOR OMNI XG32,New,"Las Vegas, NV",Stock # 1995635,33 ft 8 i,5,2,(N/A),"$213,095"
99,2023 THOR MAGNITUDE XG32,New,"North Little Rock, AR",Stock # 2027955,33 ft 8 i,5,2,(N/A),"$213,195"
100,2023 THOR MAGNITUDE XG32,New,"Golden, CO",Stock # 2034028,33 ft 8 i,5,2,(N/A),"$213,694"
101,2023 THOR MAGNITUDE XG32,New,"St George, UT",Stock # 2087490,33 ft 8 i,5,2,(N/A),"$213,195"
102,2023 THOR OMNI XG32,New,"Vacaville, CA",Stock # 2087585,33 ft 8 i,5,2,(N/A),"$213,095"
103,2023 THOR OMNI XG32,New,"Fresno, CA",Stock # 2087586,33 ft 8 i,5,2,(N/A),"$213,095"
104,2023 THOR OMNI XG32,New,"Fresno, CA",Stock # 2087587,33 ft 8 i,5,2,(N/A),"$213,095"
105,2023 THOR MAGNITUDE XG32,New,"Idaho Falls, ID",Stock # 2101618,33 ft 8 i,5,2,(N/A),"$213,195"
106,2023 THOR MAGNITUDE XG32,New,"Meridian, ID",Stock # 2101806,33 ft 8 i,5,2,(N/A),"$213,195"
107,2023 THOR OMNI XG32,New,"Uxbridge, MA",Stock # 2103849,33 ft 8 i,5,2,(N/A),"$213,095"
108,2023 THOR OMNI XG32,New,"West Boylston, MA",Stock # 2103858,33 ft 8 i,5,2,(N/A),"$213,095"
109,2023 THOR MAGNITUDE XG32,New,"Summerset, SD",Stock # 2105728,33 ft 8 i,5,2,(N/A),"$213,195"
110,2019 NEWMAR VENTANA 3412,Used,"Mesa, AZ",Stock # 2120354,34 ft 10 i,-,4,"13,434","$214,999"
111,2016 ENTEGRA COACH ASPIRE 42RBQ,Used,"Albuquerque, NM",Stock # 2209679C,0 ft 0 i,-,-,"55,529","$214,999"
112,2022 NEXUS RV REBEL 35R,Used,"Wentzville, MO",Stock # 2182273,34 ft 11 i,8,1,-,"$213,999"
